date,branch,cash,equity,positions
2020-02-06,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-07,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-10,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-11,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-12,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-13,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-14,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-17,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-18,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-19,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-20,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-21,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-24,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-25,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-26,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-27,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-02-28,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-02,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-03,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-05,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-06,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-09,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-10,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-11,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-12,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-13,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-16,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-17,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-18,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-19,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-20,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-23,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-24,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-25,TECHNICAL_ONLY,100000000.0,100000000.0,0
2020-03-26,TECHNICAL_ONLY,100000000.0,100000000.0,0
