date,branch,cash,equity,positions
2020-02-06,TFM,100000000.0,100000000.0,0
2020-02-07,TFM,100000000.0,100000000.0,0
2020-02-10,TFM,100000000.0,100000000.0,0
2020-02-11,TFM,100000000.0,100000000.0,0
2020-02-12,TFM,100000000.0,100000000.0,0
2020-02-13,TFM,100000000.0,100000000.0,0
2020-02-14,TFM,100000000.0,100000000.0,0
2020-02-17,TFM,100000000.0,100000000.0,0
2020-02-18,TFM,100000000.0,100000000.0,0
2020-02-19,TFM,100000000.0,100000000.0,0
2020-02-20,TFM,100000000.0,100000000.0,0
2020-02-21,TFM,100000000.0,100000000.0,0
2020-02-24,TFM,100000000.0,100000000.0,0
2020-02-25,TFM,100000000.0,100000000.0,0
2020-02-26,TFM,100000000.0,100000000.0,0
2020-02-27,TFM,100000000.0,100000000.0,0
2020-02-28,TFM,100000000.0,100000000.0,0
2020-03-02,TFM,100000000.0,100000000.0,0
2020-03-03,TFM,100000000.0,100000000.0,0
2020-03-05,TFM,100000000.0,100000000.0,0
2020-03-06,TFM,100000000.0,100000000.0,0
2020-03-09,TFM,100000000.0,100000000.0,0
2020-03-10,TFM,100000000.0,100000000.0,0
2020-03-11,TFM,100000000.0,100000000.0,0
2020-03-12,TFM,100000000.0,100000000.0,0
2020-03-13,TFM,100000000.0,100000000.0,0
2020-03-16,TFM,100000000.0,100000000.0,0
2020-03-17,TFM,100000000.0,100000000.0,0
2020-03-18,TFM,100000000.0,100000000.0,0
2020-03-19,TFM,100000000.0,100000000.0,0
2020-03-20,TFM,100000000.0,100000000.0,0
2020-03-23,TFM,100000000.0,100000000.0,0
2020-03-24,TFM,100000000.0,100000000.0,0
2020-03-25,TFM,100000000.0,100000000.0,0
2020-03-26,TFM,100000000.0,100000000.0,0
2020-03-27,TFM,100000000.0,100000000.0,0
2020-03-30,TFM,100000000.0,100000000.0,0
2020-03-31,TFM,100000000.0,100000000.0,0
2020-04-01,TFM,100000000.0,100000000.0,0
2020-04-03,TFM,100000000.0,100000000.0,0
2020-04-06,TFM,100000000.0,100000000.0,0
2020-04-07,TFM,100000000.0,100000000.0,0
2020-04-08,TFM,100000000.0,100000000.0,0
2020-04-09,TFM,100000000.0,100000000.0,0
2020-04-10,TFM,100000000.0,100000000.0,0
2020-04-13,TFM,100000000.0,100000000.0,0
2020-04-14,TFM,100000000.0,100000000.0,0
2020-04-15,TFM,100000000.0,100000000.0,0
2020-04-16,TFM,100000000.0,100000000.0,0
2020-04-17,TFM,100000000.0,100000000.0,0
2020-04-20,TFM,100000000.0,100000000.0,0
2020-04-21,TFM,100000000.0,100000000.0,0
2020-04-22,TFM,100000000.0,100000000.0,0
2020-04-23,TFM,100000000.0,100000000.0,0
2020-04-24,TFM,100000000.0,100000000.0,0
2020-04-27,TFM,100000000.0,100000000.0,0
2020-04-28,TFM,100000000.0,100000000.0,0
2020-04-29,TFM,100000000.0,100000000.0,0
2020-05-04,TFM,100000000.0,100000000.0,0
2020-05-05,TFM,100000000.0,100000000.0,0
2020-05-06,TFM,100000000.0,100000000.0,0
2020-05-07,TFM,100000000.0,100000000.0,0
2020-05-08,TFM,100000000.0,100000000.0,0
2020-05-11,TFM,100000000.0,100000000.0,0
2020-05-12,TFM,100000000.0,100000000.0,0
2020-05-13,TFM,100000000.0,100000000.0,0
2020-05-14,TFM,100000000.0,100000000.0,0
2020-05-19,TFM,100000000.0,100000000.0,0
2020-05-21,TFM,100000000.0,100000000.0,0
2020-05-22,TFM,100000000.0,100000000.0,0
2020-05-25,TFM,100000000.0,100000000.0,0
2020-05-26,TFM,100000000.0,100000000.0,0
2020-05-27,TFM,100000000.0,100000000.0,0
2020-05-28,TFM,100000000.0,100000000.0,0
2020-05-29,TFM,100000000.0,100000000.0,0
2020-06-01,TFM,100000000.0,100000000.0,0
2020-06-02,TFM,100000000.0,100000000.0,0
2020-06-03,TFM,100000000.0,100000000.0,0
2020-06-04,TFM,100000000.0,100000000.0,0
2020-06-05,TFM,100000000.0,100000000.0,0
2020-06-10,TFM,100000000.0,100000000.0,0
2020-06-11,TFM,100000000.0,100000000.0,0
2020-06-12,TFM,100000000.0,100000000.0,0
2020-06-15,TFM,100000000.0,100000000.0,0
2020-06-16,TFM,100000000.0,100000000.0,0
2020-06-17,TFM,100000000.0,100000000.0,0
2020-06-18,TFM,100000000.0,100000000.0,0
2020-06-19,TFM,100000000.0,100000000.0,0
2020-06-22,TFM,100000000.0,100000000.0,0
2020-06-23,TFM,100000000.0,100000000.0,0
2020-06-24,TFM,100000000.0,100000000.0,0
2020-06-25,TFM,100000000.0,100000000.0,0
2020-06-26,TFM,100000000.0,100000000.0,0
2020-06-29,TFM,100000000.0,100000000.0,0
2020-06-30,TFM,100000000.0,100000000.0,0
2020-07-01,TFM,100000000.0,100000000.0,0
2020-07-02,TFM,100000000.0,100000000.0,0
2020-07-03,TFM,100000000.0,100000000.0,0
2020-07-06,TFM,100000000.0,100000000.0,0
2020-07-07,TFM,100000000.0,100000000.0,0
2020-07-08,TFM,100000000.0,100000000.0,0
2020-07-09,TFM,100000000.0,100000000.0,0
2020-07-13,TFM,100000000.0,100000000.0,0
2020-07-14,TFM,100000000.0,100000000.0,0
2020-07-15,TFM,100000000.0,100000000.0,0
2020-07-16,TFM,100000000.0,100000000.0,0
2020-07-17,TFM,100000000.0,100000000.0,0
2020-07-20,TFM,100000000.0,100000000.0,0
2020-07-21,TFM,100000000.0,100000000.0,0
2020-07-22,TFM,100000000.0,100000000.0,0
2020-07-23,TFM,100000000.0,100000000.0,0
2020-07-24,TFM,100000000.0,100000000.0,0
2020-07-27,TFM,100000000.0,100000000.0,0
2020-07-28,TFM,100000000.0,100000000.0,0
2020-07-29,TFM,100000000.0,100000000.0,0
2020-07-30,TFM,100000000.0,100000000.0,0
