branch,symbol,sector,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_cost,net_pnl,exit_reason,score
TFM,GAS,Năng lượng,2020-11-17,2020-11-18,2021-01-21,59995.7172421875,69370.078859375,400,24034284.327220317,3644377.137670312,TREND_EXIT,84.38
TFM,SSI,Chứng khoán,2020-11-18,2020-11-19,2021-01-28,6922.060374755859,10344.753746582031,1500,10398665.19797699,5079672.595346376,TREND_EXIT,76.56
TFM,MBB,Ngân hàng,2020-11-13,2020-11-16,2021-01-29,5998.867075195312,6546.059317382813,2100,12616517.289197022,1095840.4658906255,TREND_EXIT,77.68
TFM,PLX,Năng lượng,2021-02-22,2021-02-23,2021-03-12,57928.95,56171.9,100,5801584.3425,-198437.3174999999,TREND_EXIT,76.56
TFM,CTG,Ngân hàng,2021-03-17,2021-03-18,2021-04-27,19760.504220703126,18950.164708984375,500,9895072.48851709,-443677.83991113305,TREND_EXIT,100.0
TFM,MBB,Ngân hàng,2021-02-23,2021-02-26,2021-04-28,8244.59680078125,9096.8711640625,700,5779874.587187696,572015.7031189455,TREND_EXIT,91.07
TFM,CTG,Ngân hàng,2021-05-13,2021-05-14,2021-07-15,22542.322168945313,20902.914408203127,400,9030454.260879492,-690191.4120064443,TREND_EXIT,95.53
TFM,MBB,Ngân hàng,2021-05-10,2021-05-11,2021-07-19,10213.455738281249,11616.950337890627,900,9205898.329699805,1223218.8361415062,TREND_EXIT,89.91
TFM,FPT,Công nghệ,2021-02-03,2021-02-04,2021-07-20,33464.290189453124,46441.24822851563,400,13405794.649894923,5124263.393282812,TREND_EXIT,92.19
TFM,VHM,Bất động sản,2021-08-13,2021-08-16,2021-08-19,46908.059496093745,42286.53756054688,200,9395684.317067578,-959520.0737384744,STOP_CLOSE,88.28
TFM,FPT,Công nghệ,2021-07-26,2021-07-27,2021-08-27,51750.4716796875,49836.71761328125,200,10365619.477441408,-423194.3135917969,TREND_EXIT,88.28
TFM,MWG,Bán lẻ,2021-11-15,2021-11-16,2021-12-06,69034.5,66716.625,300,20741415.525000002,-776465.4937500022,TREND_EXIT,78.75
TFM,FPT,Công nghệ,2021-11-25,2021-11-26,2021-12-06,54875.23640625,52301.16836523438,500,27478774.63042969,-1393566.908269044,STOP_CLOSE,84.38
TFM,VHM,Bất động sản,2021-12-21,2021-12-22,2021-12-24,43421.7,41329.325000000004,200,8697366.51,-452166.1724999985,STOP_CLOSE,92.19
TFM,VCB,Ngân hàng,2022-01-13,2022-01-14,2022-02-23,69382.68181640624,73629.54962109376,100,6948675.583913085,395871.9907910172,TREND_EXIT,91.07
TFM,BID,Ngân hàng,2021-12-31,2022-01-04,2022-02-28,25821.822427734372,30392.643732421875,400,10344222.06455039,1782442.7846859377,TREND_EXIT,82.14
TFM,MBB,Ngân hàng,2022-01-13,2022-01-14,2022-03-08,12251.531884277343,13193.536650390626,900,11042918.263893384,801579.2639948018,TREND_EXIT,100.0
TFM,MWG,Bán lẻ,2022-02-22,2022-02-23,2022-03-09,68884.425,67016.475,100,6898775.16375,-213881.7824999988,TREND_EXIT,92.19
TFM,FPT,Công nghệ,2022-03-08,2022-03-09,2022-03-16,51860.112410156245,49891.48318554688,300,15581370.773631444,-651344.4303565379,STOP_CLOSE,100.0
TFM,FPT,Công nghệ,2022-03-28,2022-03-29,2022-04-27,54052.93092773437,56134.762328125005,200,10826802.064825196,372083.01963574253,TREND_EXIT,100.0
TFM,CTG,Ngân hàng,2023-07-11,2023-07-12,2023-07-31,18757.159048828125,18491.03891796875,800,15028235.829921097,-272386.7733820304,TREND_EXIT,86.61
TFM,VRE,Bất động sản,2023-07-31,2023-08-01,2023-08-04,29714.85,28585.7,400,11903768.91,-498074.6099999994,STOP_CLOSE,82.81
TFM,VCB,Ngân hàng,2023-07-25,2023-07-26,2023-08-16,91945.95,88755.6,100,9208386.8925,-355015.79250000045,TREND_EXIT,82.14
TFM,VHM,Bất động sản,2023-07-17,2023-07-18,2023-08-22,29264.625,28385.800000000003,400,11723408.775,-397474.5749999974,STOP_CLOSE,96.09
TFM,HPG,Vật liệu,2023-09-06,2023-09-07,2023-09-19,19982.437397460937,19274.104220703128,1000,20012411.05355713,-786492.0934057608,TREND_EXIT,76.56
TFM,SSI,Chứng khoán,2023-08-22,2023-08-23,2023-09-26,18631.14685546875,18612.52501953125,400,7463637.4303007815,-37239.94750781264,TREND_EXIT,80.47
TFM,VNM,Hàng tiêu dùng,2023-08-28,2023-08-29,2023-09-27,77538.75,76261.85,300,23296517.4375,-475158.82499999925,TREND_EXIT,78.75
TFM,BID,Ngân hàng,2024-02-23,2024-02-26,2024-03-12,40861.881667968744,39120.1645078125,200,8184634.89809414,-380162.0787855461,TREND_EXIT,94.38
