symbol,sector_group
AAA,ICB2:1300
AAM,ICB2:3500
AAN,ICB2:3500
AAT,ICB2:3700
ABR,ICB2:2700
ABS,ICB2:1300
ABT,ICB2:3500
ACB,ICB2:8300
ACC,ICB2:2300
ACG,ICB2:1700
ACL,ICB2:3500
ADC,ICB2:5500
ADG,ICB2:5500
ADP,ICB2:2300
ADS,ICB2:3700
AFX,ICB2:5300
AGG,ICB2:8600
AGR,ICB2:8700
ALT,ICB2:5500
AMC,ICB2:1700
AME,ICB2:2700
AMV,ICB2:4500
ANT,ICB2:3500
ANV,ICB2:3500
APG,ICB2:8700
APH,ICB2:2700
API,ICB2:8600
APS,ICB2:8700
ARM,ICB2:2700
ASG,ICB2:2700
ASM,ICB2:3500
ASP,ICB2:7500
AST,ICB2:5300
ATS,ICB2:5700
BAB,ICB2:8300
BAF,ICB2:3500
BAX,ICB2:2300
BBS,ICB2:2700
BCC,ICB2:2300
BCE,ICB2:2300
BCF,ICB2:3500
BCM,ICB2:8600
BED,ICB2:5500
BFC,ICB2:1300
BHN,ICB2:3500
BIC,ICB2:8500
BID,ICB2:8300
BKC,ICB2:1700
BKG,ICB2:3700
BMC,ICB2:1700
BMI,ICB2:8500
BMP,ICB2:2300
BNA,ICB2:3500
BPC,ICB2:2700
BRC,ICB2:1300
BSI,ICB2:8700
BSR,ICB2:0500
BTP,ICB2:7500
BTS,ICB2:2300
BTT,ICB2:5300
BTW,ICB2:7500
BVB,ICB2:8300
BVH,ICB2:8500
BVS,ICB2:8700
BWE,ICB2:7500
BXH,ICB2:2700
C32,ICB2:2300
C47,ICB2:2300
C69,ICB2:2300
CAG,ICB2:2700
CAN,ICB2:3500
CAP,ICB2:1700
CAR,ICB2:2700
CCC,ICB2:2300
CCI,ICB2:7500
CCL,ICB2:8600
CCR,ICB2:2700
CDC,ICB2:2300
CDN,ICB2:2700
CEO,ICB2:8600
CET,ICB2:3700
CHP,ICB2:7500
CIA,ICB2:2700
CIG,ICB2:2300
CII,ICB2:2300
CJC,ICB2:2700
CKG,ICB2:8600
CKV,ICB2:9500
CLC,ICB2:3700
CLH,ICB2:2300
CLL,ICB2:2700
CLM,ICB2:1700
CLW,ICB2:7500
CMC,ICB2:2700
CMG,ICB2:9500
CMS,ICB2:2300
CMV,ICB2:5300
CMX,ICB2:3500
CNG,ICB2:7500
COM,ICB2:5300
CPC,ICB2:1300
CRC,ICB2:2300
CRE,ICB2:8600
CRV,ICB2:8600
CSC,ICB2:2300
CSM,ICB2:3300
CST,ICB2:1700
CSV,ICB2:1300
CTB,ICB2:2700
CTD,ICB2:2300
CTF,ICB2:3300
CTG,ICB2:8300
CTI,ICB2:2300
CTP,ICB2:3500
CTR,ICB2:2300
CTS,ICB2:8700
CTT,ICB2:2700
CVT,ICB2:2300
CX8,ICB2:2300
D11,ICB2:8600
D2D,ICB2:8600
DAD,ICB2:5500
DAE,ICB2:5500
DAH,ICB2:5700
DAT,ICB2:3500
DBC,ICB2:3500
DBD,ICB2:4500
DBT,ICB2:4500
DC2,ICB2:2300
DC4,ICB2:2300
DCL,ICB2:4500
DCM,ICB2:1300
DGC,ICB2:1300
DGW,ICB2:5300
DHA,ICB2:2300
DHC,ICB2:1700
DHG,ICB2:4500
DHM,ICB2:1700
DHP,ICB2:2700
DHT,ICB2:4500
DIG,ICB2:8600
DIH,ICB2:8600
DL1,ICB2:2700
DLG,ICB2:2300
DMC,ICB2:4500
DMX,ICB2:5300
DNC,ICB2:7500
DNP,ICB2:2300
DP3,ICB2:4500
DPG,ICB2:2300
DPM,ICB2:1300
DPR,ICB2:1300
DQC,ICB2:3700
DRC,ICB2:3300
DRH,ICB2:8600
DRL,ICB2:7500
DS3,ICB2:2700
DSC,ICB2:8700
DSE,ICB2:8700
DSN,ICB2:5700
DST,ICB2:5500
DTA,ICB2:8600
DTD,ICB2:8600
DTG,ICB2:4500
DTK,ICB2:7500
DTL,ICB2:1700
DTT,ICB2:1300
DVM,ICB2:4500
DVP,ICB2:2700
DXG,ICB2:8600
DXP,ICB2:2700
DXS,ICB2:8600
DXV,ICB2:2300
EBS,ICB2:5500
ECI,ICB2:5500
EIB,ICB2:8300
EID,ICB2:5500
ELC,ICB2:9500
EVE,ICB2:3700
EVF,ICB2:8700
EVG,ICB2:2300
EVS,ICB2:8700
FCM,ICB2:2300
FCN,ICB2:2300
FDC,ICB2:8600
FID,ICB2:2300
FIR,ICB2:8600
FIT,ICB2:4500
FMC,ICB2:3500
FPT,ICB2:9500
FRT,ICB2:5300
FTS,ICB2:8700
GAS,ICB2:7500
GDT,ICB2:3700
GDW,ICB2:7500
GEE,ICB2:2700
GEG,ICB2:7500
GEL,ICB2:2300
GEX,ICB2:2700
GHC,ICB2:7500
GIC,ICB2:2700
GIL,ICB2:3700
GKM,ICB2:2300
GLT,ICB2:3700
GMA,ICB2:3300
GMD,ICB2:2700
GMH,ICB2:2300
GMX,ICB2:2300
GSP,ICB2:2700
GTA,ICB2:1700
GVR,ICB2:1300
HAD,ICB2:3500
HAG,ICB2:3500
HAH,ICB2:2700
HAP,ICB2:1700
HAR,ICB2:8600
HAS,ICB2:2300
HAT,ICB2:3500
HAX,ICB2:3300
HBS,ICB2:8700
HCC,ICB2:2300
HCD,ICB2:1300
HCM,ICB2:8700
HCT,ICB2:2700
HDA,ICB2:2300
HDB,ICB2:8300
HDC,ICB2:8600
HDG,ICB2:7500
HEV,ICB2:5500
HGM,ICB2:1700
HHC,ICB2:3500
HHP,ICB2:1700
HHS,ICB2:3300
HHV,ICB2:2300
HID,ICB2:2300
HII,ICB2:1300
HJS,ICB2:7500
HKT,ICB2:3500
HLC,ICB2:1700
HLD,ICB2:8600
HMC,ICB2:1700
HMH,ICB2:2700
HMR,ICB2:2300
HNA,ICB2:7500
HOM,ICB2:2300
HPA,ICB2:3500
HPG,ICB2:1700
HPX,ICB2:8600
HQC,ICB2:8600
HRC,ICB2:1300
HSG,ICB2:1700
HSL,ICB2:3500
HT1,ICB2:2300
HTC,ICB2:7500
